"Invested In","Sector","Market Value Latest Price","Value as of <br> 31 Dec, 2023","% of Total Holding","Quantity","Month Change <br> in Shares","Month Change <br> in Shares %","History "
"Polyplex Corp Ltd","Basic Materials","668201651.25","691280000","0.16","657517","","","/mutual-fund/holding-history/10906/1054/"
"Hitachi Energy India Ltd Ordinary Shares","Technology","722264722","645599000","0.15","122636","15000","13.94","/mutual-fund/holding-history/10906/202203/"
"JM Financial Ltd","Financial Services","742309142.4","643466000","0.15","6545936","","","/mutual-fund/holding-history/10906/689/"
"Mishra Dhatu Nigam Ltd Ordinary Shares","Basic Materials","750242211.6","626676000","0.14","1498686","","","/mutual-fund/holding-history/10906/80900/"
"Cyient DLM Ltd","Technology","612965817.5","608726000","0.14","902150","","","/mutual-fund/holding-history/10906/1513580/"
"Pokarna Ltd","Industrials","572054037.5","587533000","0.13","1223645","","","/mutual-fund/holding-history/10906/3854/"
"CCL Products (India) Ltd","Consumer Defensive","583573756.5","585256000","0.13","909135","","","/mutual-fund/holding-history/10906/243/"
"Century Plyboards (India) Ltd","Basic Materials","565921979.3","551143000","0.13","713962","","","/mutual-fund/holding-history/10906/252/"
"Tracxn Technologies Ltd","Technology","572246615.9","549337000","0.13","5035166","-1898823","-27.38","/mutual-fund/holding-history/10906/758704/"
"VIP Industries Ltd","Consumer Cyclical","507055770","546021000","0.12","913614","","","/mutual-fund/holding-history/10906/1488/"
"ICICI Prudential Life Insurance Company Limited","Financial Services","486300000","534850000","0.12","1000000","","","/mutual-fund/holding-history/10906/4714/"
"Subros Ltd","Consumer Cyclical","680979750","533722000","0.12","985000","","","/mutual-fund/holding-history/10906/1302/"
"Astec Lifesciences Limited","","469221595.15","513222000","0.12","468589","","","/mutual-fund/holding-history/10906/121/"
"GlaxoSmithKline Pharmaceuticals Ltd","Healthcare","590144357.25","510741000","0.12","269073","","","/mutual-fund/holding-history/10906/463/"
"Rolex Rings Ltd","Industrials","470292820.2","497276000","0.11","197316","","","/mutual-fund/holding-history/10906/612873/"
"Gabriel India Ltd","Consumer Cyclical","472999121.7","493264000","0.11","1254806","-307089","-19.66","/mutual-fund/holding-history/10906/429/"
"Credo Brands Marketing Ltd","Consumer Cyclical","425660776","491893000","0.11","1687456","1687456","New","/mutual-fund/holding-history/10906/1839759/"
"Honasa Consumer Ltd","Consumer Defensive","533941904.8","484383000","0.11","1098872","-181998","-14.21","/mutual-fund/holding-history/10906/1769048/"
"Tata Technologies Ltd","Technology","424273239.5","437470000","0.1","370690","-90000","-19.54","/mutual-fund/holding-history/10906/1792699/"
"DOMS Industries Ltd","Industrials","497917703.4","429470000","0.1","343356","343356","New","/mutual-fund/holding-history/10906/1819409/"
"Bajel Projects Ltd","Utilities","549794848.05","406643000","0.09","3062071","3062071","New","/mutual-fund/holding-history/10906/1845603/"
"Paras Defence And Space Technologies Ltd","Industrials","428008932","393473000","0.09","547326","","","/mutual-fund/holding-history/10906/665815/"
"Concord Biotech Ltd","Healthcare","349676991.4","371297000","0.08","252274","","","/mutual-fund/holding-history/10906/1587026/"
"Aeroflex Industries Ltd","Industrials","353158608","333982000","0.08","2154720","188134","9.57","/mutual-fund/holding-history/10906/1617407/"
"Netweb Technologies India Ltd","Technology","408705724.8","323508000","0.07","272416","","","/mutual-fund/holding-history/10906/1544933/"
"Union Bank of India","Financial Services","350875000","297750000","0.07","2500000","","","/mutual-fund/holding-history/10906/1447/"
"INOX India Ltd","Industrials","285846739.2","295558000","0.07","334872","334872","New","/mutual-fund/holding-history/10906/1830843/"
"Azad Engineering Ltd","Industrials","272585815.6","278996000","0.06","403144","403144","New","/mutual-fund/holding-history/10906/1840438/"
"Ashoka Buildcon Ltd","Industrials","323020127.7","277829000","0.06","1995183","-1271789","-38.93","/mutual-fund/holding-history/10906/113/"
"Tarsons Products Ltd","Healthcare","267100996.8","275945000","0.06","523317","","","/mutual-fund/holding-history/10906/731411/"
"Westlife Foodworld Ltd","Consumer Cyclical","235050037.3","231899000","0.05","283894","","","/mutual-fund/holding-history/10906/2228/"
"Laurus Labs Ltd","Healthcare","176885205.6","200887000","0.05","466962","","","/mutual-fund/holding-history/10906/4984/"
"India Shelter Finance Corporation Ltd","Financial Services","192027489.5","189594000","0.04","333410","333410","New","/mutual-fund/holding-history/10906/1826519/"
"Happy Forgings Ltd","Industrials","153097623","162533000","0.04","157914","157914","New","/mutual-fund/holding-history/10906/1833301/"
"Blue Jet Healthcare Ltd","Healthcare","129965083.75","132982000","0.03","361265","-652149","-64.35","/mutual-fund/holding-history/10906/1761328/"
